id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
deck_main_beam_0003,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,-2875.0,17577.734289,9000.0,-2875.0,17866.601434,3013.875284
deck_main_beam_0004,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,-2875.0,17866.601434,12000.0,-2875.0,18155.468578,3013.875284
deck_main_beam_0005,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,0.0,2875.0,17000.0,3000.0,2875.0,17288.867145,3013.875284
deck_main_beam_0006,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,2875.0,17288.867145,6000.0,2875.0,17577.734289,3013.875284
deck_main_beam_0007,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,2875.0,17577.734289,9000.0,2875.0,17866.601434,3013.875284
deck_main_beam_0008,deck_main_beam,平台主梁,ZJ8_DECK_MAIN,4,HM-220x220,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,2875.0,17866.601434,12000.0,2875.0,18155.468578,3013.875284
deck_cross_beam_0012,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,-2200.0,17288.867145,3000.0,2700.0,17288.867145,4900.0
deck_cross_beam_0013,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,-2200.0,17577.734289,6000.0,2700.0,17577.734289,4900.0
deck_cross_beam_0014,deck_cross_beam,横向梁,ZJ8_DECK_CROSS,4,HN-180x180,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,-2200.0,17866.601434,9000.0,2700.0,17866.601434,4900.0
deck_secondary_beam_0001,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,0.0,-1075.0,17000.0,3000.0,-1075.0,17288.867145,3013.875284
deck_secondary_beam_0002,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,-1075.0,17288.867145,6000.0,-1075.0,17577.734289,3013.875284
deck_secondary_beam_0003,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,-1075.0,17577.734289,9000.0,-1075.0,17866.601434,3013.875284
deck_secondary_beam_0004,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,-1075.0,17866.601434,12000.0,-1075.0,18155.468578,3013.875284
deck_secondary_beam_0005,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,0.0,1075.0,17000.0,3000.0,1075.0,17288.867145,3013.875284
deck_secondary_beam_0006,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,1075.0,17288.867145,6000.0,1075.0,17577.734289,3013.875284
